Freq.	V(n001)/I(C)
2.95120922666637e+002	4.70000000000000e+002,-7.93069446872887e+002
3.01995172040200e+002	4.70000000000000e+002,-7.75016982287022e+002
3.09029543251358e+002	4.70000000000000e+002,-7.57375441963728e+002
3.16227766016837e+002	4.70000000000000e+002,-7.40135472124812e+002
3.23593656929627e+002	4.70000000000000e+002,-7.23287931910069e+002
3.31131121482590e+002	4.70000000000000e+002,-7.06823888530671e+002
3.38844156139201e+002	4.70000000000000e+002,-6.90734612532893e+002
3.46736850452530e+002	4.70000000000000e+002,-6.75011573169633e+002
3.54813389233574e+002	4.70000000000000e+002,-6.59646433877302e+002
3.63078054770100e+002	4.70000000000000e+002,-6.44631047855665e+002
3.71535229097171e+002	4.70000000000000e+002,-6.29957453748303e+002
3.80189396320559e+002	4.70000000000000e+002,-6.15617871421390e+002
3.89045144994279e+002	4.70000000000000e+002,-6.01604697838571e+002
3.98107170553495e+002	4.70000000000000e+002,-5.87910503029725e+002
4.07380277804111e+002	4.70000000000000e+002,-5.74528026151501e+002
4.16869383470333e+002	4.70000000000000e+002,-5.61450171637521e+002
4.26579518801591e+002	4.70000000000000e+002,-5.48670005436214e+002
4.36515832240164e+002	4.70000000000000e+002,-5.36180751334295e+002
4.46683592150961e+002	4.70000000000000e+002,-5.23975787363925e+002
4.57088189614873e+002	4.70000000000000e+002,-5.12048642291655e+002
4.67735141287196e+002	4.70000000000000e+002,-5.00392992187293e+002
4.78630092322636e+002	4.70000000000000e+002,-4.89002657070872e+002
4.89778819368444e+002	4.70000000000000e+002,-4.77871597635947e+002
5.01187233627270e+002	4.70000000000000e+002,-4.66993912047466e+002
5.12861383991362e+002	4.70000000000000e+002,-4.56363832812548e+002
5.24807460249770e+002	4.70000000000000e+002,-4.45975723722477e+002
5.37031796370250e+002	4.70000000000000e+002,-4.35824076864309e+002
5.49540873857622e+002	4.70000000000000e+002,-4.25903509700510e+002
5.62341325190346e+002	4.70000000000000e+002,-4.16208762215052e+002
5.75439937337154e+002	4.70000000000000e+002,-4.06734694124495e+002
5.88843655355586e+002	4.70000000000000e+002,-3.97476282152533e+002
6.02559586074355e+002	4.70000000000000e+002,-3.88428617366590e+002
6.16595001861479e+002	4.70000000000000e+002,-3.79586902575034e+002
6.30957344480190e+002	4.70000000000000e+002,-3.70946449783650e+002
6.45654229034652e+002	4.70000000000000e+002,-3.62502677709999e+002
6.60693448007592e+002	4.70000000000000e+002,-3.54251109354359e+002
6.76082975391978e+002	4.70000000000000e+002,-3.46187369625967e+002
6.91830970918933e+002	4.70000000000000e+002,-3.38307183023282e+002
7.07945784384134e+002	4.70000000000000e+002,-3.30606371367061e+002
7.24435960074986e+002	4.70000000000000e+002,-3.23080851585031e+002
7.41310241300914e+002	4.70000000000000e+002,-3.15726633546992e+002
7.58577575029180e+002	4.70000000000000e+002,-3.08539817949197e+002
7.76247116628688e+002	4.70000000000000e+002,-3.01516594246885e+002
7.94328234724277e+002	4.70000000000000e+002,-2.94653238633886e+002
8.12830516164095e+002	4.70000000000000e+002,-2.87946112068208e+002
8.31763771102666e+002	4.70000000000000e+002,-2.81391658342566e+002
8.51138038202372e+002	4.70000000000000e+002,-2.74986402198837e+002
8.70963589956076e+002	4.70000000000000e+002,-2.68726947485428e+002
8.91250938133741e+002	4.70000000000000e+002,-2.62609975356598e+002
9.12010839355905e+002	4.70000000000000e+002,-2.56632242512755e+002
9.33254300796986e+002	4.70000000000000e+002,-2.50790579480823e+002
9.54992586021431e+002	4.70000000000000e+002,-2.45081888933737e+002
9.77237220955805e+002	4.70000000000000e+002,-2.39503144048205e+002
9.99999999999994e+002	4.70000000000000e+002,-2.34051386899847e+002
1.02329299228075e+003	4.70000000000000e+002,-2.28723726894860e+002
1.04712854805089e+003	4.70000000000000e+002,-2.23517339237389e+002
1.07151930523760e+003	4.70000000000000e+002,-2.18429463431783e+002
1.09647819614318e+003	4.70000000000000e+002,-2.13457401818945e+002
1.12201845430196e+003	4.70000000000000e+002,-2.08598518145993e+002
1.14815362149688e+003	4.70000000000000e+002,-2.03850236168491e+002
1.17489755493952e+003	4.70000000000000e+002,-1.99210038284482e+002
1.20226443461741e+003	4.70000000000000e+002,-1.94675464199628e+002
1.23026877081237e+003	4.70000000000000e+002,-1.90244109622726e+002
1.25892541179416e+003	4.70000000000000e+002,-1.85913624990926e+002
1.28824955169313e+003	4.70000000000000e+002,-1.81681714223953e+002
